Name,ISIN,shareID,companyID,Symbol,name,name.hb
AVNER         L,IL0002680119,268011,268,AVNR.L,AVNER OIL EXPLORATION - LIMITED PARTNERSHIP,אבנר        יהש
CINEMA -M,IL0002690191,269019,269,CNMA-M,CINEMA TRUSTS INVESTMENTS IN MOVIES - LIMITED PARTNERSHIP,סינמה יהש-ש
TRENDLINE,IL0002710155,271015,271,TREN,TRENDLINE INFORMATION AND COMMUNICATION SERVICES LTD.,קו מנחה
NICE,IL0002730112,273011,273,NICE,NICE SYSTEMS LTD.,נייס
NAPHTHA EXP L,IL0002740194,274019,274,NFEX.L,NAPHTHA EXPLORATIONS - LIMITED PARTNERSHIP,נפטא חיפוש יהש
BIOCELL,IL0002780109,278010,278,BCEL,BIO-CELL LTD.,ביוסל
CASTRO,IL0002800162,280016,280,CAST,CASTRO MODEL LTD.,קסטרו
ICL,IL0002810146,281014,281,ICL,ICL-ISRAEL CHEMICALS LTD.,כיל
IMCO,IL0002820129,282012,282,IMCO,IMCO INDUSTRIES LTD.,אימקו
BARAN,IL0002860133,286013,286,BRAN,BARAN GROUP LTD.,ברן
SCOPE,IL0002880198,288019,288,SCOP,SCOPE METALS GROUP LTD,סקופ
TEUZA,IL0002900236,290023,290,TUZA,TEUZA - A FAIRCHILD  TECHNOLOGY VENTURE LTD.,תעוזה
GALTEN-M,IL0002950140,295014,295,GLTN-M,GALTEN BIODIESEL LTD,גלטן ביודיזל-ש
SDS-M,IL0002960123,296012,296,SDS-M,S.D.S (STAR DEFENCE SYSTEMS) LTD,אס.די.אס-ש
AVROT,IL0002970106,297010,297,AVRT,AVROT INDUSTRIES LTD.,אברות
RSL,IL0002990161,299016,299,RSEL,R.S.L. ELECTRONICS LTD.,אראסאל
TIV         -L,IL0003000127,300012,300,TIVA-L,TIV TEXTILE GROUP (1969) LTD.,טיב טקסטיל-ס
OSEM,IL0003040149,304014,304,OSEM,OSEM INVESTMENTS LTD.,אסם
ARKO HOLDINGS,IL0003100117,310011,310,ARKO,ARKO HOLDINGS LTD,ארקו החזקות
ASHOT,IL0003120172,312017,312,ASHO,ASHOT - ASHKELON INDUSTRIES LTD.,עשות
ASPEN GROUP,IL0003130155,313015,313,ASGR,ASPEN GROUP LTD.,אספן גרופ
DANEL,IL0003140139,314013,314,DANE,DANEL (ADIR YEOSHUA) LTD.,דנאל כא
FMS,IL0003150104,315010,315,FBRT,FMS ENTERPRISES MIGUN LTD,פמס
LEADER,IL0003180143,318014,318,LDER,LEADER HOLDINGS & INVESTMENTS LTD.,לידר השקעות
MELISRON,IL0003230146,323014,323,MLSR,MELISRON LTD.,מליסרון
PRIORTECH,IL0003280133,328013,328,PRTC,PRIORTECH LTD,פריורטק
PENINSULA GROUP,IL0003330136,333013,333,PEN,PENINSULA GROUP LTD,פנינסולה
MER,IL0003380123,338012,338,CMER,C. MER INDUSTRIES LTD.,מר
SHEFA YAMIM,IL0003410169,341016,341,SEFA,SHEFA YAMIM LTD.,שפע ימים
CHAM,IL0003420143,342014,342,CHAM,CHAM FOODS (ISRAEL) LTD.,צאם
HACHSHARA-L,IL0003430126,343012,343,HAHO-L,HACHSHARAT HAYISHUV HOTELS LTD.,מלונות הכשרה-ס
MODIIN     L,IL0003450173,345017,345,MDIN.L,MODIIN ENERGY-LIMITED PARTNERSHIP,מודיעין   יהש
VISION SIGMA,IL0003500175,350017,350,VISN,VISION SIGMA LTD,ויז'ן סיגמא
HOD,IL0003510158,351015,351,HOD,HOD-ASSAF INDUSTRIES LTD.,חד
TELSYS,IL0003540197,354019,354,TLSY,TELSYS LTD.,טלסיס
KALANT CARMON-M,IL0003550162,355016,355,KLNT-M,KALANIT CARMON SOFTWARE SERVICES LTD.,כלנית כרמון-ש
ZMIHA      -M,IL0003610149,361014,361,TZMI-M,ZMIHA INVESTMENT HOUSE LTD.,צמיחה-ש
APPLY,IL0003630105,363010,363,APLY,APPLY ADVANCED MOBILE TECHNOLOGIES LTD,אפליי
ASRR,IL0003650152,365015,365,ASRR,ASRR CAPITAL LTD,איאסאראר
ARENA GROUP,IL0003660136,366013,366,ARNA,ARENA STAR GROUP LTD,ארנה גרופ
BIOMEDIX,IL0003680191,368019,368,BMDX,BIOMEDIX INCUBATOR LTD.,ביומדיקס
WILLY FOOD,IL0003710139,371013,371,WLFD,WILLY FOOD INVESTMENTS LTD,וילי פוד
AURA,IL0003730194,373019,373,AURA,AURA INVESTMENTS LTD.,אאורה
E&M,IL0003820102,382010,382,EMCO,E & M COMPUTING LTD.,אמת
APIO AFRICA,IL0003830184,383018,383,APIO,APIO AFRICA LTD,אפיו אפריקה
HAMAT,IL0003840167,384016,384,HAMAT,HAMAT GROUP LTD.,חמת
QUEENCO,IL0003860116,386011,386,QNCO,(I.Z)QUEENCO LTD,קווינקו
ALROV PROPERT,IL0003870198,387019,387,ALRPR,ALROV PROPERTIES & LODGINGS LTD.,אלרוב נדלן
AGRI,IL0003890154,389015,389,AGRI,AGRI INVEST LTD.,אגרי
ALONY HETZ,IL0003900136,390013,390,ALHE,ALONY HETZ PROPERTIES & INVESTMENTS LTD.,אלוני חץ
RALCO,IL0003930174,393017,393,RLCO,RALCO AGENCIES LTD.,ראלקו
RATIO       L,IL0003940157,394015,394,RATI.L,RATIO OIL EXPLORATION (1992) - LIMITED PARTNERSHIP,רציו      יהש
NEW HORIZON-M,IL0003970188,397018,397,NERZ-M,NEW HORIZON GROUP LTD,ניו הוריזון-ש
BRILL,IL0003990145,399014,399,BRIL,BRILL SHOE INDUSTRIES LTD.,בריל
DUNIEC,IL0004000100,400010,400,DUNI,DUNIEC BROS. LTD.,דוניץ
MAYANOT TAMDA,IL0004040122,404012,404,TMDA,MAYANOT TAMDA LTD.,מעיינות טמדא
PAYTON -L,IL0004120155,412015,412,PAYT-L,PAYTON INDUSTRIES LTD.,פייטון -ס
AVIATION LINKS,IL0004130139,413013,413,AVIA,AVIATION LINKS LTD.,קשרי תעופה
HABAS,IL0004150186,415018,415,HBS,HABAS INVESTMENTS (1960) LTD.,חבס
VILLAR,IL0004160169,416016,416,VILR,VILLAR INTERNATIONAL LTD.,וילאר
E.T.VIEW MEDIC,IL0004180126,418012,418,ETVW,E.T. VIEW MEDICAL LTD.,אי.טי.ויו מדיקל
NETANEL GROUP,IL0004210162,421016,421,NTGR,NETANEL GROUP LTD.,נתנאל גרופ
S.R ACCORD,IL0004220146,422014,422,SRAC,S.R ACCORD LTD,אסאר אקורד
ITAY FINANCIAL,IL0004240102,424010,424,ITYF,ITAY FINANCIAL A.A INVESTMENTS LTD.,איתי פיננסים
SARFATI,IL0004250176,425017,425,SRFT,ZVI SARFATI & SONS INVESTMENTS & CONSTRUCTIONS LTD.,צרפתי
IES,IL0004310152,431015,431,IES,IES HOLDINGS LTD.,אייאיאס
MICROMEDIC,IL0004330119,433011,433,MCTC,MICROMEDIC TECHNOLOGIES LTD,מיקרומדיק
ISRAEL CANADA,IL0004340191,434019,434,ISCN,ISRAEL CANADA (T.R) LTD,ישראל קנדה
CARMIT,IL0004400169,440016,440,CRMT,CARMIT CANDY INDUSTRIES LTD,כרמית
C I SYSTEMS,IL0004420126,442012,442,CISY,CI SYSTEMS (ISRAEL) LTD.,סיאי
AVIV,IL0004440181,444018,444,AVIV,MORDECHAI AVIV TAASIOT BENIYAH (1973) LTD.,אביב בניה
MATRIX,IL0004450156,445015,445,MTRX,MATRIX IT LTD.,מטריקס
ULTRA EQUITY,IL0004480195,448019,448,ULTR-M,ULTRA EQUITY INVESTMENTS LTD.,אולטרה אקויטי-ש
TUBE,IL0004540170,454017,454,TUBE,MIDDLE EAST TUBE CO. LTD.,"צנורות המזה""ת"
NETZ GRUOP,IL0004550146,455014,455,NETZ,NETZ GROUP LTD.,נץ קבוצה
CHIRON,IL0004560129,456012,456,CHR,CHIRON REFINERIES LTD,צירון
JOBOOKIT HOLD,IL0004620105,462010,462,JBKT,JOBOOKIT HOLDINGS LTD,ג'ובוקיט החזקות
DORI GROUP,IL0004730177,473017,473,DORI,U.DORI GROUP LTD.,דורי קבוצה
ELBIT MEDITEC,IL0004740150,474015,474,EMTC,ELBIT MEDICAL TECHNOLOGIES LTD,אלביט מדקל טכ
DELEK DRILL L,IL0004750209,475020,475,DEDR.L,DELEK DRILLING - LIMITED PARTNERSHIP,דלק קידוחים יהש
TALDOR,IL0004770181,477018,477,TALD,TALDOR COMPUTER SYSTEMS (1986) LTD.,טלדור
GULLIVER-M,IL0004840141,484014,484,GLVR-M,GULLIVER ENERGY LTD,גוליבר-ש
BONUS BIOGROUP,IL0004850116,485011,485,BONS,BONUS BIOGROUP LTD.,בונוס ביוגרופ
YBOX,IL0004860271,486027,486,YBOX,YBOX REAL ESTATE LTD,וויי בוקס
NISKO INDUST,IL0004880154,488015,488,NSKO,NISKO INDUSTRIES (1992) LTD.,ניסקו תעשיות
PALACE INDUST,IL0004890138,489013,489,PLIND,PALACE INDUSTRIES (P.I.) LTD,פאלאס תעשיות
GODM,IL0004940131,494013,494,GODM,GO.D.M INVESTMENTS LTD.,גו.די.אם
COLLPLANT,IL0004960188,496018,496,CLPT,COLLPLANT HOLDINGS LTD,קולפלנט
ADO,IL0005050161,505016,505,ADO,A.D.O. GROUP LTD.,איידיאו
GIVOT       L,IL0005060228,506022,506,GIVO.L,GIVOT OLAM OIL EXPLORATION-LIMITED PARTNERSHIP(1993),גבעות       יהש
COMPUTER DIRECT,IL0005070128,507012,507,CMDR,COMPUTER DIRECT GROUP LTD.,מיחשוב ישר קב
NETZ US,IL0005160135,516013,516,NEZU,NETZ UNITED STATES (H.Y) LTD,נץ ארהב
KAFRIT,IL0005220111,522011,522,KAFR,KAFRIT INDUSTRIES (1993) LTD.,כפרית
RAVAD,IL0005260125,526012,526,RAVD,RAVAD LTD.,רבד
MAABAROT,IL0005280180,528018,528,MABR,MAABAROT PRODUCTS LTD.,מעברות
BIRMAN,IL0005300145,530014,530,BIRM,BIRMAN WOOD AND HARDWARE LTD.,בירמן
BONEI TICHON-L,IL0005310128,531012,531,BOTI-L,BONEI HATICHON CIVIL ENGINEERING & INFRASTRUCTURES LTD.,בוני תיכון-ס
GAN SHMUEL,IL0005320101,532010,532,GSFI,GAN SHMUEL FOODS LTD.,גן שמואל
BRAND,IL0005360115,536011,536,BRND,BRAND INDUSTRIES LTD.,ברנד
ROTSHTEIN,IL0005390153,539015,539,ROTS,ROTSHTEIN REALESTATE LTD,רוטשטיין
KNAFAIM,IL0005430173,543017,543,KNFM,KNAFAIM HOLDINGS LTD.,כנפיים
MYDAS,IL0005440156,544015,544,MYDS,MYDAS INVESTMENT FUND LTD.,מידאס
PROFIT-M,IL0005490144,549014,549,PROB-M,PROFIT BUILDING INDUSTRIES LTD.,פרופיט-ש
STG,IL0005500124,550012,550,STG,STG INTERNATIONAL LTD.,אסטיגי
SUNY   -M,IL0005550111,555011,555,SUNY-M,SUNY ELECTRONIC INC. LTD.,סאני-ש
EDEN ENERGY-M,IL0005560193,556019,556,EDN-M,EDEN ENERGY DISCOVERIES LTD,אדן אנרגיה-ש
NADLANS-L,IL0005640136,564013,564,NDLS-L,NADLANS LTD.,נדלנס-ס
DELEK ENERGY,IL0005650101,565010,565,DLEN,DELEK ENERGY SYSTEMS LTD.,דלק אנרגיה
MENORA MIV HLD,IL0005660183,566018,566,MMHD,MENORA MIVTACHIM HOLDINGS LTD,מנורה מב החז
SPECTRONIX,IL0005680140,568014,568,SPCT,SPECTRONIX LTD.,ספקטרוניקס
LEVINSTEIN ENG,IL0005730143,573014,573,LEVI,MESHULAM LEVINSTEIN CONSTRACTING & ENGINEERING LTD,לוינשטין הנדסה
VAXIL BIO,IL0005740126,574012,574,VAXL,VAXIL BIO LTD,ווקסיל ביו
ISRAEL CORP,IL0005760173,576017,576,ILCO,THE ISRAEL CORPORATION LTD.,חברה לישראל
AFCON HOLD,IL0005780130,578013,578,AFHL,AFCON HOLDINGS LTD.,אפקון החזקות
JOEL,IL0005830133,583013,583,JOEL,J.O.E.L. JERUSALEM OIL EXPLORATION LTD.,יואל
LIBENTAL,IL0005840116,584011,584,LBTL,A.LIBENTAL HOLDINGS LTD.,ליבנטל
HAREL,IL0005850180,585018,585,HARL,HAREL INSURANCE INVESTMENTS & FINANCIAL SERVICES LTD.,הראל השקעות
ARYT,IL0005870147,587014,587,ARYT,ARYT INDUSTRIES LTD.,ארית תעשיות
EMILIA DEVEL,IL0005890103,589010,589,EMDV,EMILIA DEVELOPMENT (O.F.G) LTD.,אמיליה פיתוח
FIBI BANK,IL0005930388,593038,593,FTIN,The First International Bank of Israel Ltd,בינלאומי
DI ROM,IL0005990192,599019,599,DROM,DI ROM BUILDING INVESTMENT & DEVELOPMENT CO. LTD.,די רום
OHH,IL0006010131,601013,601,OHH,OTZAR HITYASHVUTH HAYEHUDIM LTD.,אוהה
LEUMI,IL0006046119,604611,604,LUMI,Bank Leumi Le-Israel B.M,לאומי
AFRICA,IL0006110121,611012,611,AFIL,AFRICA-ISRAEL INVESTMENTS LTD.,אפריקה
LAND DEV,IL0006120104,612010,612,ILDC,THE ISRAEL LAND DEVELOPMENT CO. LTD.,הכשרת הישוב
ISRAS,IL0006130343,613034,613,ISRS,ISRAS INVESTMENT COMPANY LTD.,ישרס
ARGAMAN-M,IL0006170356,617035,617,ARGM-M,ARGAMAN INDUSTRIES LTD.,ארגמן-ש
KERUR,IL0006210111,621011,621,KRUR,KERUR HOLDINGS LTD,קרור
ALBAAD,IL0006250125,625012,625,ALBA,ALBAAD MASSUOT YITZHAK LTD.,על בד
DELTA,IL0006270347,627034,627,DELT,DELTA-GALIL INDUSTRIES LTD.,דלתא
TEVA,IL0006290147,629014,629,TEVA,TEVA- PHARMACEUTICAL INDUSTRIES LTD.,טבע
HADERA PAPER,IL0006320183,632018,632,HAP,HADERA PAPER LTD.,נייר חדרה
SHEMEN INDUSTRY,IL0006340306,634030,634,SMNIN,SHEMEN INDUSTRIES LTD.,שמן תעשיות
DISCOUNT INV,IL0006390137,639013,639,DISI,DISCOUNT INVESTMENT CORP. LTD.,דיסקונט השקעות
ABETRANS,IL0006410190,641019,641,ABTR,ABETRANS LTD.,אייביטרנס
LAPIDOTH,IL0006420173,642017,642,LAPD,LAPIDOTH ISRAEL OIL PROSPECTORS CORPORATION LTD.,לפידות
NAPHTHA,IL0006430156,643015,643,NFTA,NAPHTHA ISRAEL PETROLEUM CORP. LTD.,נפטא
PALRAM,IL0006440130,644013,644,PLRM,PALRAM INDUSTRIES (1990) LTD.,פלרם
AMANET,IL0006540129,654012,654,AMAN,AMANET MANAGEMENT & SYSTEMS LTD.,אמנת
NISSAN,IL0006600196,660019,660,NISA,NISSAN MEDICAL INDUSTRIES LTD.,ניסן
POALIM,IL0006625771,662577,662,POLI,Bank Hapoalim B.M,פועלים
NETZ HOTELS,IL0006660166,666016,666,NZHT,NETZ HOTELS LTD.,נץ מלונות
MTI,IL0006690106,669010,669,MTCO,M.T.I. COMPUTERS & SOFTWARE SERVICES (1982) LTD.,מטי
TEFEN,IL0006730126,673012,673,TEFN,TEFEN INDUSTRIAL ENGINEERING & MANAGEMENT & SYSTEMS ANALYSIS,תפן
AVERBUCH,IL0006750173,675017,675,AVER,AVERBUCH FORMICA CENTER LTD.,אברבוך
MEHADRIN,IL0006860147,686014,686,MEDN,MEHADRIN LTD.,מהדרין
DISCOUNT,IL0006912120,691212,691,DSCT,Israel Discount Bank Ltd,דיסקונט       א
ELCO,IL0006940345,694034,694,ELCO,ELCO LTD,אלקו
MIZRAHI TEFAHOT,IL0006954379,695437,695,MZTF,Mizrahi Tefahot Bank Ltd,מזרחי טפחות
PROPERT & BUIL,IL0006990175,699017,699,PTBL,PROPERTY AND BUILDING CORP. LTD.,נכסים ובנין
EXPORT INV,IL0007040152,704015,704,EXPO,EXPORT INVESTMENT CO. LTD.,יצוא
DEXIA ISRAEL,IL0007110104,711010,711,DXIL,Dexia Israel Bank Ltd,דקסיה ישראל
AZORIM,IL0007150118,715011,715,AZRM,"AZORIM-INVESTMENT, DEVELOPMENT & CONSTRUCTION CO. LTD.",אזורים
CITRUS PLT1-L,IL0007160190,716019,716,CTPL1-L,I.C.P. ISRAEL CITRUS PLANTATIONS LTD.,מטעי הדר -1ס
CITRUS PLANT5-L,IL0007160356,716035,716,CTPL5-L,I.C.P. ISRAEL CITRUS PLANTATIONS LTD.,מטעי הדר -1ס
LEVI       -M,IL0007190130,719013,719,LEVI-M,A.LEVI INVESTMENT & CONSTRUCTION LTD.,לוי-ש
ENLIGHT ENERGY,IL0007200111,720011,720,ENLT,ENLIGHT RENEWABLE ENERGY LTD.,אנלייט אנרגיה
UNION,IL0007223147,722314,722,UNON,Union Bank of Israel Ltd,אגוד
NORSTAR,PAL0605071A3,723007,723,NSTR,NORSTAR HOLDINGS INC,נורסטאר
JERUSALEM,IL0007260180,726018,726,JBNK,Bank of Jerusalem Ltd,ירושלים
PLASTO SAC,IL0007270163,727016,727,PLST,PLASTO-SAC LTD.,פלסטו שק
ZUR,IL0007300101,730010,730,ZUR,ZUR SHAMIR HOLDINGS LTD.,צור
ARAD INVESTMENT,IL0007310183,731018,731,ARAD,ARAD INVESTMENT & INDUSTRIAL DEVELOPMENT LTD.,ערד
IDB HOLDINGS,IL0007365799,736579,736,IDBH,IDB HOLDING CORPORATION LTD.,אידיבי אחזקות
ELECTRA,IL0007390375,739037,739,ELTR,ELECTRA LTD.,אלקטרה
ALGOMIZER,IL0007440113,744011,744,ALMO,ALGOMIZER LTD.,אלגומייזר
POLYGON,IL0007450187,745018,745,POLY,POLYGON REALESTATE LTD.,פוליגון
STRAUSS GROUP,IL0007460160,746016,746,STRS,STRAUSS GROUP LTD.,שטראוס
ELRON,IL0007490779,749077,749,ELRN,ELRON ELECTRONIC IND. LTD.,אלרון
MANO DIMENSION,IL0007510329,751032,751,NNDM,NANO DIMENSION LTD,ננו דיימנשן
LODZIA,IL0007530129,753012,753,LODZ,LODZIA-ROTEX INVESTMENT LTD.,לודזיה
EQUITAL,IL0007550176,755017,755,EQTL,EQUITAL LTD.,אקויטל
PETROCHEMICAL-M,IL0007560159,756015,756,PTCH-M,ISRAEL PETROCHEMICAL ENTERPRISES LTD.,פטרוכימיים-ש
BAYSIDE LAND,IL0007590198,759019,759,BYSD,BAYSIDE LAND CORPORATION LTD.,גב ים
FIBI HOLDINGS,IL0007630119,763011,763,FIBI,F.I.B.I. HOLDINGS LTD.,פיבי
KITOV PHARMA,IL0007650166,765016,765,KTOV,KITOV PHARMACEUTICALS HOLDINGS LTD,כיטוב פארמה
PHOENIX,IL0007670123,767012,767,PHOE,THE PHOENIX HOLDINGS LTD,פניקס
RAPAC,IL0007690261,769026,769,RPAC,RAPAC COMMUNICATION & INFRASTRUCTURE LTD,רפק
GREENSTONE,IL0007700169,770016,770,GRTN,GREENSTONE INDUSTRIES LTD.,גרינסטון
ENGEL RESOUR,IL0007710143,771014,771,ENRS,ENGEL RESOURCES AND DEVELOPMENT LTD,אנגל משאבים
SHUFERSAL,IL0007770378,777037,777,SAE,SHUFERSAL LTD.,שופרסל
TAYA INV-L,IL0007960110,796011,796,TAYA-L,TAYA INVESTMENT CO. LTD.,תיא השקעות-ס
KLIL,IL0007970358,797035,797,KLIL,KLIL INDUSTRIES LTD.,קליל
AFRICA INDUST,IL0008000114,800011,800,AFID,AFRICA ISRAEL INDUSTRIES LTD.,אפריקה תעשיות
COHEN DEV,IL0008100104,810010,810,CDEV,COHEN- DEVELOPMENT & INDUSTRIAL BUILDINGS LTD.,כהן פיתוח
SANO,IL0008130143,813014,813,SANO1,SANO BRUNO'S ENTERPRISES LTD.,סנו
OGEN REAL EST,IL0008190113,819011,819,OGEN,OGEN YIELDING REAL ESTATE LTD.,עוגן נדלן
DAN   HOTELS,IL0008220159,822015,822,DANH,DAN HOTELS  LTD.,דן מלונות
HAGAG,IL0008230133,823013,823,HGG,HAGAG GROUP REAL ESTATE ENTREPRENEURSHIP LTD,חג'ג'
A.D.N,IL0008240116,824011,824,ADN,A.D.N GLOBAL EQUITY LTD,איי.די.אן
LACHISH,IL0008260163,826016,826,LHIS,LACHISH INDUSTRIES LTD.,לכיש
DELEK AUTOMOTIV,IL0008290103,829010,829,DLEA,DELEK AUTOMOTIVE SYSTEMS LTD.,דלק רכב
NATURAL RESOURC,IL0010802416,1080241,60,NRH,NATURAL RESOURCE HOLDINGS LTD.,משאבי טבע
HAMLET,IL0010803240,1080324,68,HAML,HAM-LET (ISRAEL-CANADA) LTD.,המלט
RIMONI,IL0010804560,1080456,76,RIMO,RIMONI INDUSTRIES LTD.,רימוני
GAMATRONIC-L,IL0010805229,1080522,1001,GAMT-L,GAMATRONIC ELECTRONIC INDUSTRIES LTD.,גמאטרוניק-ס
SATCOM SYSTEM,IL0010805971,1080597,1006,STCM,SATCOM SYSTEMS LTD,סאטקום מערכות
SPEECH,IL0010806052,1080605,1007,SPCH,SPEECH MODULES HOLDINGS LTD,ספיץ'
ANALYST,IL0010806136,1080613,1008,ANLT,ANALYST I.M.S. INVESTMENT MANAGEMENT SERVICES LTD.,אנליסט
EXCELLENCE-L,IL0010806391,1080639,1009,EXCE-L,EXCELLENCE INVESTMENTS LTD.,אקסלנס השקעות-ס
EZ ENERGY,IL0010806888,1080688,1012,EZ,EZ ENERGY LTD.,איזי אנרגיה
D MEDICAL,IL0010807209,1080720,1010,DMED,D MEDICAL INDUSTRIES LTD,די מדיקל
ILEX MEDICAL,IL0010807530,1080753,1019,ILX,ILEX MEDICAL LTD.,אילקס מדיקל
SHANIV,IL0010808371,1080837,1025,SHAN,SHANIV PAPER INDUSTRY LTD.,שניב
INTER INDSTRIES,IL0010809288,1080928,1028,ININ,INTER INDUSTRIES LTD,אינטר תעשיות
GAI BEACH,IL0010809510,1080951,1029,GIBC,GAI BEACH HOTEL,חוף גיא
ISROTEL    -L,IL0010809858,1080985,1032,ISRO-L,ISROTEL LTD.,ישרוטל -ס
REKAH,IL0010810096,1081009,1033,REKA,REKAH PHARMACEUTICAL INDUSTRY LTD.,רקח
ISSTA,IL0010810740,1081074,1036,ISTA,ISSTA LINES LTD.,איסתא
FRUTAROM,IL0010810823,1081082,1037,FRUT,FRUTAROM INDUSTRIES LTD.,פרוטרום
ELBIT IMAGING,IL0010811169,1081116,1039,EMITF,ELBIT IMAGING LTD.,אלביט הדמיה
ELBIT SYSTEMS,IL0010811243,1081124,1040,ESLT,ELBIT SYSTEMS LTD.,אלביט מערכות
